event,mean_mean_nnd,mean_sd_nnd,sd_mean_nnd,mean_pol,sd_pol,cv_speed,mean_sd_front,mean_mean_bangl,mean_shape,sd_shape,species
4,22.23987508,16.82859809,12.09068682,0.704144529,0.230389018,0.495977029,0.361761426,1.610035278,1.255326588,0.323290697,baboons
6,53.21927534,39.01656084,11.27670142,0.509556801,0.172723061,0.417997027,0.289958724,1.697638083,1.033685896,0.391746955,baboons
11,14.02773877,9.487549948,2.920818288,0.666550106,0.302339324,0.596291544,0.30283291,1.544300383,0.727170657,0.469765068,baboons
17,21.28020728,17.91941409,10.61476103,0.584212197,0.182787937,0.396061086,0.273895372,1.484397668,1.137940837,0.305889297,baboons
18,15.27408862,6.57051969,3.627578901,0.559540312,0.184173866,0.386919596,0.295735088,1.577827069,1.145854961,0.327547327,baboons
19,21.20035607,13.35942959,4.288777366,0.54279272,0.171399245,0.170376217,0.267010368,1.989639096,0.874236529,0.305194283,baboons
20,12.19511158,9.607508446,3.256727149,0.643654319,0.172750628,0.315222757,0.290612103,1.548451258,0.805552394,0.469303365,baboons
22,19.09961313,12.65115107,1.749615558,0.400636429,0.176575542,0.300402803,0.326171566,1.70303345,0.97614498,0.423576007,baboons
25,30.98811163,29.07654735,3.890883824,0.496031877,0.206722606,0.402806087,0.310490513,1.641790078,0.9728867,0.450159757,baboons
26,22.63063879,20.03106643,9.985377218,0.600924961,0.196845614,0.456053228,0.369673873,1.659557202,1.125918911,0.328538498,baboons
27,12.36958001,8.543863489,4.803237864,0.432560315,0.218254983,0.656229474,0.280538596,1.413206685,0.893426676,0.425859091,baboons
28,12.89305412,10.53233448,0.226678816,0.470895698,0.181387114,0.217712017,0.300355153,1.30686388,1.15582726,0.300521786,baboons
29,10.84970463,12.26233423,1.200165724,0.462321445,0.187731649,0.552784792,0.31707685,1.508604717,1.008141733,0.38965736,baboons
30,15.20700774,8.572596838,2.093161601,0.473977332,0.182517869,0.221627877,0.339850793,1.612051169,1.040743545,0.355466671,baboons
32,24.44513381,23.77467041,0.74029519,0.552452286,0.247221983,0.599815127,0.338363413,1.58045959,1.113650565,0.345879961,baboons
33,17.46757515,14.81709436,6.45572621,0.603707447,0.190729861,0.495587364,0.389300388,1.496691189,1.154545531,0.310797956,baboons
34,24.21400346,20.77185115,4.907982731,0.537501343,0.214939696,0.411144504,0.333930391,1.619867708,0.605701281,0.379383209,baboons
35,26.39729153,37.20529846,9.238766702,0.576502244,0.220388271,0.729935622,0.332393988,1.499028929,0.866007093,0.397976797,baboons
36,8.548111556,5.248265138,1.269479111,0.539668662,0.217909943,0.407495048,0.323146907,1.599531251,0.460320116,0.389781759,baboons
