idx,qls,qlp,Nev,tot_dur,dur_mean,dur_sd,dur_min,dur_max
1,0,0,22,18404,836.5454545,551.305181,147,2158
2,0.1,0,89,16563,186.1011236,341.4086809,1,2153
3,0.2,0,64,14723,230.046875,365.0638313,1,2035
4,0.3,0,69,12883,186.7101449,349.4039926,1,1980
5,0.4,0,73,11042,151.260274,293.5591946,1,1683
6,0.5,0,57,9202,161.4385965,271.1943174,1,1172
7,0.6,0,57,7362,129.1578947,188.5996127,1,1105
8,0.7,0,50,5521,110.42,125.7589353,1,570
9,0.8,0,38,3681,96.86842105,110.5705525,1,452
10,0.9,0,21,1841,87.66666667,81.29842147,1,270
11,1,0,1,1,1,NA,1,1
12,0,0.1,144,16563,115.0208333,258.8912202,1,1824
13,0.1,0.1,182,14889,81.80769231,206.711696,1,1819
14,0.2,0.1,140,13406,95.75714286,225.8392461,1,1804
15,0.3,0.1,130,11848,91.13846154,229.5117417,1,1791
16,0.4,0.1,111,10254,92.37837838,226.3418193,1,1683
17,0.5,0.1,68,8788,129.2352941,228.4266836,1,1172
18,0.6,0.1,59,7126,120.779661,176.7003179,1,1105
19,0.7,0.1,54,5327,98.64814815,107.3882319,1,417
20,0.8,0.1,42,3487,83.02380952,91.84039392,1,382
21,0.9,0.1,22,1685,76.59090909,74.16240807,1,270
22,1,0.1,1,1,1,NA,1,1
23,0,0.2,175,14723,84.13142857,190.0879104,1,1403
24,0.1,0.2,180,13414,74.52222222,176.7243681,1,1398
25,0.2,0.2,133,12288,92.39097744,198.0475469,1,1383
26,0.3,0.2,108,11086,102.6481481,212.5147742,1,1370
27,0.4,0.2,88,9755,110.8522727,219.1037407,1,1360
28,0.5,0.2,67,8564,127.8208955,218.3679079,1,1172
29,0.6,0.2,67,7027,104.880597,166.1401856,1,1105
30,0.7,0.2,58,5261,90.70689655,106.0426939,1,417
31,0.8,0.2,42,3434,81.76190476,92.07123688,1,382
32,0.9,0.2,23,1647,71.60869565,74.05878447,1,270
33,1,0.2,1,1,1,NA,1,1
34,0,0.3,173,12883,74.46820809,175.1359783,1,1395
35,0.1,0.3,171,11937,69.80701754,166.2725019,1,1391
36,0.2,0.3,137,11105,81.05839416,180.694891,1,1376
37,0.3,0.3,113,10308,91.22123894,193.2634552,1,1363
38,0.4,0.3,84,9234,109.9285714,209.4677584,1,1353
39,0.5,0.3,71,8258,116.3098592,202.8421337,1,1172
40,0.6,0.3,66,6884,104.3030303,167.1141452,1,1105
41,0.7,0.3,51,5194,101.8431373,107.6428117,1,417
42,0.8,0.3,39,3412,87.48717949,92.76508866,1,382
43,0.9,0.3,21,1628,77.52380952,74.11721733,1,270
44,1,0.3,1,1,1,NA,1,1
45,0,0.4,191,11042,57.81151832,136.690261,1,1011
46,0.1,0.4,185,10360,56,138.3745311,1,1011
47,0.2,0.4,145,9872,68.08275862,153.2139256,1,1011
48,0.3,0.4,128,9407,73.4921875,159.65514,1,1011
49,0.4,0.4,97,8655,89.22680412,177.0984604,1,1011
50,0.5,0.4,73,7896,108.1643836,180.6296867,1,849
51,0.6,0.4,69,6638,96.20289855,141.0573079,1,792
52,0.7,0.4,54,5123,94.87037037,106.7184705,1,417
53,0.8,0.4,39,3382,86.71794872,92.83288571,1,382
54,0.9,0.4,21,1618,77.04761905,74.16500266,1,270
55,1,0.4,1,1,1,NA,1,1
56,0,0.5,145,9202,63.46206897,143.1580333,1,992
57,0.1,0.5,125,8838,70.704,152.3997303,1,992
58,0.2,0.5,103,8711,84.57281553,164.0367368,1,992
59,0.3,0.5,97,8442,87.03092784,166.658549,1,992
60,0.4,0.5,74,7968,107.6756757,183.7445448,1,992
61,0.5,0.5,75,7450,99.33333333,171.494806,1,842
62,0.6,0.5,62,6326,102.0322581,141.8857735,1,785
63,0.7,0.5,53,4981,93.98113208,104.0390996,1,417
64,0.8,0.5,39,3295,84.48717949,92.39528121,1,382
65,0.9,0.5,21,1609,76.61904762,74.26403988,1,270
66,1,0.5,1,1,1,NA,1,1
67,0,0.6,105,7362,70.11428571,131.4709908,1,721
68,0.1,0.6,98,7223,73.70408163,135.1516299,1,721
69,0.2,0.6,94,7210,76.70212766,137.2153029,1,721
70,0.3,0.6,90,7066,78.51111111,139.7143349,1,721
71,0.4,0.6,86,6845,79.59302326,142.406657,1,721
72,0.5,0.6,74,6536,88.32432432,148.8925427,1,721
73,0.6,0.6,70,5743,82.04285714,126.5993836,1,649
74,0.7,0.6,55,4651,84.56363636,99.40410671,1,338
75,0.8,0.6,42,3063,72.92857143,87.5761391,1,311
76,0.9,0.6,21,1563,74.42857143,74.83820644,1,270
77,1,0.6,1,1,1,NA,1,1
78,0,0.7,95,5521,58.11578947,105.8277266,1,637
79,0.1,0.7,92,5452,59.26086957,107.3220346,1,637
80,0.2,0.7,92,5452,59.26086957,107.3220346,1,637
81,0.3,0.7,88,5390,61.25,109.3175539,1,637
82,0.4,0.7,83,5344,64.38554217,111.8004354,1,637
83,0.5,0.7,80,5221,65.2625,111.9574675,1,637
84,0.6,0.7,71,4873,68.63380282,109.7423267,1,628
85,0.7,0.7,55,4180,76,95.71698251,1,338
86,0.8,0.7,35,2875,82.14285714,89.50193651,1,290
87,0.9,0.7,20,1509,75.45,75.7936777,1,270
88,1,0.7,1,1,1,NA,1,1
89,0,0.8,60,3681,61.35,80.88594711,1,304
90,0.1,0.8,58,3658,63.06896552,81.7192159,1,304
91,0.2,0.8,58,3658,63.06896552,81.7192159,1,304
92,0.3,0.8,58,3658,63.06896552,81.7192159,1,304
93,0.4,0.8,58,3658,63.06896552,81.7192159,1,304
94,0.5,0.8,59,3605,61.10169492,81.16664316,1,304
95,0.6,0.8,58,3433,59.18965517,80.67140559,1,304
96,0.7,0.8,52,3176,61.07692308,81.65154229,1,304
97,0.8,0.8,31,2478,79.93548387,84.08009494,1,273
98,0.9,0.8,18,1387,77.05555556,71.70976816,1,260
99,1,0.8,1,1,1,NA,1,1
100,0,0.9,43,1841,42.81395349,60.52715086,1,247
101,0.1,0.9,43,1841,42.81395349,60.52715086,1,247
102,0.2,0.9,43,1841,42.81395349,60.52715086,1,247
103,0.3,0.9,43,1841,42.81395349,60.52715086,1,247
104,0.4,0.9,43,1841,42.81395349,60.52715086,1,247
105,0.5,0.9,42,1838,43.76190476,60.92330626,1,247
106,0.6,0.9,42,1826,43.47619048,61.07501908,1,247
107,0.7,0.9,33,1779,53.90909091,65.16247177,1,247
108,0.8,0.9,29,1675,57.75862069,67.03552106,1,247
109,0.9,0.9,22,1087,49.40909091,60.28555785,1,212
110,1,0.9,1,1,1,NA,1,1
111,0,1,1,1,1,NA,1,1
112,0.1,1,1,1,1,NA,1,1
113,0.2,1,1,1,1,NA,1,1
114,0.3,1,1,1,1,NA,1,1
115,0.4,1,1,1,1,NA,1,1
116,0.5,1,1,1,1,NA,1,1
117,0.6,1,1,1,1,NA,1,1
118,0.7,1,1,1,1,NA,1,1
119,0.8,1,1,1,1,NA,1,1
120,0.9,1,1,1,1,NA,1,1
121,1,1,0,0,0,NA,0,0
